Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
3	9	11	12	15	19	23	24	33	39	1	4	13	14	16	22	25	26	29	38	2	0	83	781	0	28316	933	7	7	5	2	0	0	
0	2	6	16	20	21	27	29	34	35	1	3	9	11	14	17	26	30	33	37	2	1	86	171	109	0	31926	1612	51	0	2	1	0	
7	14	19	22	29	30	34	35	38	39	8	10	18	23	24	25	27	33	36	37	2	2	82	503	646	6036	165	0	23	7	3	1	0	
3	9	12	17	19	21	28	32	35	37	6	7	8	15	18	22	25	29	30	36	3	3	80	199	100	0	15148	52	0	2	0	1	0	
12	17	20	27	28	29	31	32	33	34	1	2	3	4	5	14	15	19	25	39	2	0	92	672	4654	118	0	68	26	1	0	0	0	
6	9	14	18	29	33	35	37	38	39	2	7	10	16	17	19	21	22	32	36	3	1	120	439	101	38	0	7	0	20	1	1	0	
0	4	7	11	24	25	29	34	35	36	1	2	6	8	9	12	15	18	30	38	2	2	40	0	1182	24629	0	8	36	6	2	1	0	
2	5	6	9	12	20	24	27	29	32	0	10	14	22	25	30	31	34	38	39	3	3	97	609	0	766	661	0	48	3	2	0	0	
0	11	19	21	23	27	30	31	32	34	4	7	10	14	20	22	26	28	29	39	3	0	34	763	295	0	1020	0	89	6	7	1	0	
3	6	14	20	21	24	27	37	38	39	7	9	10	18	22	25	29	33	34	36	0	1	61	220	0	260	74	0	7	4	0	0	0	
1	4	13	15	17	20	23	28	34	38	5	7	11	12	22	24	31	32	33	36	3	2	55	132	4412	180	79	0	8	0	1	0	0	
1	8	13	20	22	27	28	31	33	37	2	3	9	11	12	17	21	24	25	32	3	3	36	258	0	40765	35818	284	0	3	0	1	0	
3	4	5	8	22	23	24	27	38	39	0	2	6	9	14	18	26	28	31	35	0	0	116	855	425	554	91	174	0	4	0	1	0	
3	5	14	19	21	22	24	25	29	37	1	4	7	8	12	13	16	18	26	31	1	1	83	206	0	0	15792	1924	38	13	2	0	0	
6	9	12	14	15	17	18	21	23	35	0	2	5	7	11	13	16	26	28	39	0	2	105	343	148	0	0	271	0	20	3	1	0	
0	4	11	24	25	29	33	35	36	38	7	12	14	16	17	18	21	28	32	34	2	3	40	480	12856	205	3976	0	57	3	0	1	0	
0	4	18	19	21	28	31	33	37	39	2	5	10	12	13	15	20	27	30	38	2	0	65	1231	0	49625	1035	234	0	10	2	2	0	
0	2	3	4	7	8	14	18	23	26	1	10	15	17	20	24	25	28	33	37	3	1	38	313	0	25375	543	0	46	2	1	1	0	
1	2	5	19	28	30	31	34	35	36	9	12	15	16	18	20	21	23	32	39	2	2	84	0	34744	575	1121	1085	74	0	0	1	0	
6	7	9	13	18	23	25	34	36	37	2	5	8	10	16	19	21	28	33	39	2	3	77	90	0	185	0	7	46	1	2	0	0	
7	12	18	19	21	22	30	34	35	37	1	5	10	13	15	16	24	25	28	39	2	0	64	813	322	223	0	7	119	0	2	1	0	
0	1	5	8	22	23	25	29	30	32	2	4	9	10	12	14	31	35	37	39	3	1	70	580	334	10408	989	0	31	6	2	1	0	
3	4	11	14	19	21	23	25	30	37	7	8	10	12	24	27	28	32	34	39	0	2	53	199	4480	0	96	0	0	0	2	1	0	
2	5	9	14	20	25	27	28	30	37	0	7	10	12	15	17	18	29	35	39	0	3	58	243	0	561	3222	164	0	3	1	1	0	
3	4	5	9	13	14	23	24	25	27	0	1	16	20	21	22	30	31	33	35	3	0	55	984	1149	401	376	1	0	0	2	1	0	
0	8	12	20	23	25	26	29	31	32	5	11	13	14	15	17	18	21	27	35	0	1	23	309	0	2675	243208	0	74	13	2	1	0	
0	1	2	3	13	16	24	28	29	35	6	14	15	23	30	31	33	34	37	39	1	2	35	0	94623	0	2442	7	48	0	2	1	0	
0	5	18	21	23	24	25	26	30	33	3	4	6	8	15	22	29	31	32	38	1	3	28	0	16456	0	1155	0	45	5	2	1	0	
0	3	4	12	14	27	30	31	33	35	1	9	10	16	18	20	21	25	34	37	2	0	25	845	0	0	3121	229	15	0	0	1	0	
4	6	11	17	21	24	26	28	36	38	0	1	3	8	9	13	14	20	33	37	1	1	48	431	230	0	1167	796	20	0	0	1	0	
0	1	6	8	9	17	18	22	24	32	7	13	14	21	25	26	28	30	33	36	3	2	52	0	127	0	837	72	0	12	2	1	0	
1	4	11	15	24	25	27	34	36	37	7	8	12	22	23	29	31	32	35	38	2	3	76	231	7868	135	0	141	107	5	2	1	0	
0	2	5	7	8	12	14	20	34	36	4	10	15	24	25	27	28	29	31	32	0	0	71	1772	0	542	0	1360	32	21	2	0	0	
1	6	7	13	14	19	20	25	27	29	8	12	18	21	22	26	34	35	37	39	0	1	80	560	0	659	275	105	6	2	1	1	0	
1	2	5	6	10	20	21	27	28	31	7	8	12	13	14	18	19	34	38	39	1	2	83	0	0	1148	1039	2046	57	3	1	1	0	
4	16	20	27	28	32	34	35	36	39	2	3	8	13	17	21	25	29	31	37	1	3	43	754	26635	290	0	7	15	3	1	1	0	
9	14	15	16	22	24	25	27	30	39	7	8	10	11	17	19	21	28	34	37	0	0	70	1762	0	118462	373	3	31	0	1	0	0	
4	5	6	7	8	14	16	19	25	33	12	20	21	24	28	32	35	36	37	38	1	1	81	487	19427	0	27591	1088	316	13	0	1	0	
0	3	8	9	18	22	24	26	32	35	1	6	16	19	20	23	25	29	31	37	1	2	79	187	423	682	5296	0	14	0	1	1	0	
6	7	9	18	26	28	31	33	35	36	2	3	4	10	11	13	16	23	25	27	3	3	58	165	4181	163	178	0	113	1	1	0	0	
1	10	11	12	14	15	25	31	32	33	0	3	13	16	19	22	27	30	37	38	0	0	38	372	258	0	0	139	0	0	1	1	0	
2	3	5	10	21	26	27	28	32	38	4	8	9	12	15	20	23	33	36	37	3	1	63	325	150	299	358	0	0	7	2	1	0	
0	6	7	10	11	16	22	28	30	34	3	9	12	17	20	21	29	33	37	38	3	2	39	189	78	225	106	304	0	7	0	1	0	
1	5	10	14	17	23	28	29	31	38	2	3	4	9	13	19	26	27	32	34	2	3	81	181	5552	49	138	2	1	0	2	1	0	
2	5	8	17	19	20	23	29	34	38	0	4	9	12	15	21	24	25	30	31	0	0	101	563	978	0	139	86	0	8	0	1	0	
1	2	7	14	15	19	21	23	26	32	0	8	10	16	27	30	33	34	35	37	2	1	25	324	7967	0	101	217	0	1	1	0	0	
1	5	13	14	16	21	29	31	32	33	3	4	6	8	9	15	17	19	23	27	0	2	91	110	0	0	0	1005	43	0	2	0	0	
0	3	6	12	17	18	33	37	38	39	2	8	9	11	13	21	23	27	28	35	1	3	91	291	8677	0	949	836	17	4	1	1	0	
2	6	16	17	18	24	30	31	36	39	4	7	10	11	20	21	26	27	35	38	0	0	50	1326	0	189	7914	0	12	2	1	1	0	
2	11	15	16	17	24	30	31	33	35	1	3	5	9	10	18	25	29	34	38	0	1	66	599	531	286	0	589	0	4	0	1	0	
6	11	12	13	18	22	24	28	31	35	2	4	20	21	25	30	32	33	34	37	0	2	18	671	0	876	1161	248	2	0	2	0	0	
1	12	13	14	18	19	20	23	37	38	9	15	16	17	21	22	25	28	33	35	1	3	75	116	0	601	0	0	84	13	2	1	0	
1	3	12	13	15	19	23	25	29	31	0	5	10	16	20	22	28	35	37	39	3	0	80	1461	830	523	126	0	21	3	2	0	0	
1	4	12	13	18	33	34	35	37	38	2	10	11	15	19	21	25	30	31	39	0	1	50	330	1943	592	0	1052	83	5	1	0	0	
0	6	8	11	14	23	24	31	33	38	1	9	19	20	21	26	29	32	34	35	1	2	49	0	0	848	66591	0	27	5	2	1	0	
5	8	9	11	14	17	26	30	33	37	1	3	13	15	16	20	24	27	28	36	0	3	71	252	244	5037	0	698	6	0	2	1	0	
3	5	7	9	14	15	24	26	30	32	1	2	17	20	22	23	28	29	35	38	2	0	45	972	141	0	398	0	16	5	2	0	0	
1	3	4	11	20	28	30	34	35	36	8	13	15	21	23	24	26	27	31	38	3	1	58	210	0	612	762	7	3	0	1	0	0	
2	3	6	7	18	27	28	34	35	37	4	5	10	16	21	24	29	30	32	38	1	2	55	169	1878	0	259	0	41	0	3	1	0	
1	8	13	14	20	23	29	30	32	39	3	7	11	15	17	18	19	22	34	38	0	3	76	194	113	0	0	430	0	17	2	1	0	
0	5	9	11	14	16	19	27	28	35	3	10	12	15	18	23	34	36	38	39	1	0	102	829	6417	2232	0	0	69	2	1	1	0	
5	9	10	14	15	17	22	26	31	37	0	7	13	18	19	24	28	32	34	38	3	1	85	117	226	0	18864	234	0	25	1	1	0	
0	7	8	18	19	23	26	34	36	37	1	2	5	6	9	10	11	13	17	20	3	2	47	78	0	361	367	263	4	0	0	1	0	
1	3	5	8	9	11	20	22	27	28	4	13	14	23	25	26	32	33	36	39	1	3	10	1066	30871	629	639	0	8	1	2	1	0	
0	1	2	3	10	17	18	19	24	37	9	12	14	15	16	23	28	29	32	38	2	0	110	849	359	0	18503	0	9	2	1	0	0	
2	10	16	19	22	23	26	28	35	38	1	3	7	9	12	20	25	27	34	37	3	1	47	168	5146	266	0	670	6	5	1	0	0	
2	5	7	9	12	13	15	19	31	35	8	16	18	23	24	25	26	27	29	38	3	2	40	1172	162	1768	3482	1468	69	0	1	1	0	
0	12	16	17	19	22	24	32	33	39	5	9	18	20	21	25	34	35	36	37	0	3	32	419	0	1602	504	788	0	13	2	0	0	
2	8	11	14	20	22	24	34	36	37	6	7	10	12	23	25	27	30	33	35	3	0	49	1008	1313	0	122	0	93	3	0	1	0	
3	5	9	14	16	18	27	30	31	35	2	7	8	17	19	23	28	34	36	38	2	1	36	351	83	0	987	252	10	0	0	1	0	
6	7	15	18	19	22	24	25	31	36	4	5	9	11	12	17	27	33	34	37	3	2	50	235	1848	0	220	144	5	2	0	0	0	
2	4	9	16	18	21	26	30	33	35	3	11	14	20	22	24	28	31	34	36	0	3	30	264	2231	223	0	8	56	4	0	1	0	
0	4	6	7	8	17	23	24	25	26	5	9	14	18	27	28	29	34	35	37	1	0	45	1674	28281	1447	495	0	0	8	1	1	0	
