Mode: 18 #Games: 1000 Notes: u1-Half
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
11	35	33	41	3	14	0	13	3	2	2	3	0	1	1	2	0	2	1	1	0	4	4	4	4	0	0	1	0	43
32	24	29	35	0	11	19	0	1	3	5	1	1	2	0	1	1	0	2	1	0	4	4	4	4	0	0	1	0	61
21	34	45	20	4	13	13	0	2	2	3	3	0	1	3	0	1	2	0	1	1	4	4	3	4	0	0	0	1	83
41	8	29	42	5	4	0	21	3	4	0	3	2	0	0	2	1	0	1	2	0	4	4	3	4	1	0	0	0	62
26	29	20	45	13	0	7	10	5	1	3	1	1	1	0	2	1	1	1	1	1	4	4	4	4	0	1	0	0	86
24	27	36	33	0	15	4	11	1	5	3	1	1	0	1	2	1	2	1	0	0	4	4	4	4	0	0	0	1	50
17	34	27	42	0	0	12	18	1	0	4	5	1	0	1	2	0	2	1	1	0	4	3	4	4	1	0	0	0	27
42	27	26	25	12	0	4	14	2	1	2	5	2	0	0	2	1	2	1	0	0	4	4	4	4	1	0	0	0	50
36	27	26	31	0	12	11	7	1	3	2	4	2	1	1	0	1	1	1	1	1	4	4	4	4	1	0	0	0	67
17	7	38	58	0	5	15	10	2	4	2	2	1	0	2	1	0	0	0	4	1	4	4	4	4	0	1	0	0	51
30	44	11	35	11	7	0	12	1	2	3	4	2	2	0	0	0	1	0	3	1	4	4	4	4	0	0	1	0	24
28	31	35	26	3	14	2	11	2	4	2	2	2	1	0	1	0	1	2	1	0	4	4	4	4	0	1	0	0	63
38	20	29	33	0	11	4	15	0	2	4	4	2	1	0	1	1	0	2	1	0	3	4	4	4	0	1	0	0	82
29	35	32	24	11	0	5	14	2	1	2	5	2	1	1	0	0	1	1	2	1	4	4	4	3	0	0	1	0	13
37	28	33	22	10	14	0	6	1	4	3	2	1	1	1	1	2	0	2	0	0	4	4	4	4	0	0	0	1	62
18	30	54	18	4	10	16	0	3	2	4	1	0	1	3	0	1	1	1	1	1	4	4	3	4	0	0	1	0	99
24	27	50	19	6	10	11	3	5	3	1	1	1	0	3	0	0	2	1	1	1	3	4	4	4	0	0	0	1	74
30	20	20	50	11	2	3	14	2	2	3	3	1	1	0	2	1	0	1	2	1	4	4	4	4	1	0	0	0	52
23	34	31	32	0	3	23	4	3	1	5	1	0	2	1	1	2	0	1	1	1	4	4	4	4	0	0	1	0	65
38	27	33	22	2	15	10	3	2	5	1	2	2	1	0	1	1	1	2	0	0	4	4	4	4	0	1	0	0	55
29	35	39	17	2	11	4	13	3	2	1	4	1	2	1	0	1	0	2	1	0	4	4	4	4	0	0	0	1	62
22	27	23	48	13	4	0	13	3	3	0	4	0	1	1	2	1	1	0	2	0	3	3	3	4	0	0	0	1	38
23	30	45	22	0	25	2	3	1	4	3	2	1	1	2	0	1	1	1	1	0	4	4	4	4	1	0	0	0	69
33	20	28	39	10	7	0	13	3	2	2	3	1	0	1	2	2	0	1	1	0	4	4	3	4	1	0	0	0	63
34	43	18	25	23	0	3	4	4	3	1	2	1	3	0	0	1	1	1	1	1	3	4	4	4	1	0	0	0	57
