Mode: 21 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
3	5	12	14	18	20	22	25	31	39	0	4	10	17	26	28	30	32	33	38	1	0	66	154	0	76	1850	19	0	1	0	0	0	
0	3	6	8	11	13	26	30	34	37	2	4	15	17	20	22	31	33	35	39	3	1	49	5	0	0	10353	1256	1	0	0	0	0	
2	8	14	16	17	20	28	29	31	33	0	7	9	11	12	24	25	32	34	38	0	2	87	0	0	29	88	0	33	0	0	0	0	
1	3	5	10	13	18	22	31	36	39	4	6	15	19	21	26	27	28	32	38	2	3	47	26	19	25	20	0	3	1	0	0	0	
3	5	9	14	17	26	27	29	35	37	0	6	12	18	19	23	28	30	36	38	0	0	79	43	0	20	138	0	1	0	0	0	0	
1	5	11	13	19	20	21	30	32	39	7	8	18	22	23	25	27	31	34	36	3	1	62	2	0	59	36	0	9	0	0	0	0	
5	7	10	11	13	17	24	30	35	38	0	3	4	12	19	21	22	29	36	37	0	2	61	27	0	14	112	4	2	0	0	0	0	
0	1	9	15	16	17	20	31	34	38	2	5	7	8	10	13	21	27	28	36	2	3	27	6	0	219	5	45	2	0	0	0	0	
6	8	10	12	16	23	24	26	36	37	1	4	14	15	17	21	30	31	33	39	0	0	13	72	0	1	19	6	0	0	0	0	0	
2	9	10	18	19	27	28	29	33	39	4	6	8	15	16	20	23	26	30	34	1	1	97	10	74	0	67	0	1	0	0	0	0	
1	3	6	7	8	10	16	19	24	34	5	9	12	14	15	17	32	33	35	37	3	2	61	30	0	617	577	0	26	6	5	0	0	
0	7	12	15	16	21	30	33	34	39	2	14	19	22	24	26	28	35	37	38	3	3	70	16	0	353	4930	0	13	0	0	1	0	
9	10	12	18	20	27	33	35	37	39	1	4	6	13	17	21	23	29	32	34	3	0	82	455	0	24	176	77	4	0	0	0	0	
5	8	9	10	16	20	24	27	32	36	0	4	7	15	21	26	31	33	34	38	0	1	49	33	30	28	33	0	0	3	0	0	0	
8	10	15	16	22	23	26	28	34	36	1	5	6	9	11	12	18	33	37	39	0	2	84	11	0	116	25031	229	0	0	0	0	0	
1	5	15	20	23	26	27	29	31	35	3	4	6	9	11	16	17	19	32	36	2	3	71	88	36	148	0	258	0	1	0	0	0	
1	6	10	12	13	14	19	23	29	34	0	4	8	9	16	17	21	32	37	39	1	0	107	348	0	4310	0	2	2	0	0	0	0	
0	13	16	17	19	21	23	25	33	37	2	3	7	11	12	15	26	29	35	36	2	1	41	44	33	0	46	0	16	0	0	0	0	
2	5	6	12	13	18	27	29	31	37	9	14	16	17	22	23	26	28	34	36	2	2	100	12	0	3451	0	0	2	0	0	0	0	
1	4	6	8	9	18	20	27	29	35	11	12	16	23	26	28	32	34	36	39	1	3	51	0	7091	3902	14	58	0	2	0	0	0	
9	12	21	23	28	30	31	32	33	34	6	8	13	15	17	18	25	26	29	39	2	0	104	71	7813	2	0	0	0	0	0	0	0	
3	7	11	13	14	17	19	20	35	36	0	1	2	9	21	25	30	34	38	39	2	1	65	44	3388	0	33	71	0	1	0	0	0	
0	3	6	7	8	14	25	34	35	39	1	2	4	10	13	15	19	20	31	36	0	2	82	100	238	1961	0	1	79	3	0	0	0	
9	10	11	15	16	19	20	23	32	39	3	4	13	14	18	26	29	31	33	34	3	3	83	0	13369	309	170	0	10	0	0	0	0	
1	3	11	13	19	20	28	30	37	39	0	6	7	8	9	16	17	18	26	34	1	0	84	92	86	0	698	0	0	0	0	0	0	
3	5	10	13	14	18	25	33	38	39	8	11	12	17	19	20	23	28	29	37	3	1	77	0	2539	32	26	80	2	0	0	0	0	
0	3	6	10	11	16	21	27	31	36	2	9	18	20	23	25	30	34	35	37	0	2	13	13	22	22	107	0	9	0	0	0	0	
3	7	14	19	20	23	29	33	34	38	9	15	16	22	25	26	32	35	36	37	0	3	41	7	0	4831	19	892	24	0	0	0	0	
2	6	7	8	11	13	14	17	24	27	19	21	23	26	28	29	34	36	37	39	1	0	82	297	76	326	85	37	9	0	0	0	0	
6	7	15	18	26	27	30	31	33	37	0	9	10	11	19	23	24	29	35	36	1	1	62	22	0	5906	0	35	18	1	0	0	0	
0	5	6	10	16	17	18	28	32	34	2	4	7	9	12	21	23	25	27	38	2	2	23	19	68	0	10392	816	0	0	0	0	0	
4	8	10	14	16	19	24	31	33	38	0	6	9	12	17	18	20	30	35	37	3	3	90	39	52	0	755	1	1	0	0	0	0	
4	7	10	12	20	22	29	33	36	39	0	9	16	17	21	23	24	27	32	35	2	0	75	103	0	20	61	21	2	0	0	0	0	
3	7	9	11	13	16	19	22	23	26	1	2	4	8	17	18	20	27	30	31	2	1	4	140	93	28	268	539	2	0	0	0	0	
7	15	16	24	27	28	29	34	36	38	1	2	5	6	14	17	18	19	26	31	2	2	64	25	0	17	67	1	5	0	0	0	0	
7	12	17	20	21	22	26	27	31	36	2	4	15	16	19	23	24	28	32	33	3	3	17	92	0	6	0	44	3	2	0	0	0	
6	7	9	12	19	21	25	32	33	34	4	10	11	13	14	16	18	23	24	26	2	0	55	20	1435	0	2124	0	3	2	0	0	0	
0	5	7	11	13	17	22	25	31	36	10	12	14	20	23	26	28	34	35	39	2	1	26	41	0	181	111	482	3	0	0	0	0	
3	6	9	10	13	21	27	28	31	32	1	5	7	12	15	19	30	33	34	37	0	2	52	14	23	87	0	69	7	0	0	0	0	
2	4	15	22	23	26	32	34	35	39	0	8	10	19	27	29	30	31	33	37	0	3	44	0	6240	0	23	23	0	0	0	0	0	
3	10	15	16	21	25	26	28	34	36	6	7	11	12	17	18	22	23	30	33	3	0	6	1147	0	187	0	167	1	0	0	0	0	
8	11	12	13	14	17	20	30	34	35	1	2	15	19	22	23	24	25	36	39	2	1	74	0	4493	10	42	56	0	0	0	0	0	
4	5	8	13	16	19	20	26	38	39	0	1	10	11	18	22	23	24	27	35	0	2	50	14	33	0	29	14	0	0	0	0	0	
