Mode: 21 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
1	5	9	11	20	27	29	34	38	39	4	16	18	19	25	26	28	32	33	36	1	0	77	206	0	85	30	1302	10	2	0	0	0	
0	2	5	6	14	19	21	23	25	32	9	10	12	18	24	27	29	30	36	37	2	1	34	88	76	143	0	32	15	0	0	0	0	
2	4	6	14	16	25	29	31	34	39	5	7	11	12	13	17	20	26	32	33	1	2	40	78	0	59	24	0	2	0	0	0	0	
3	10	15	21	22	24	25	26	28	36	2	7	8	12	16	23	29	34	37	39	1	3	19	59	0	0	131	516	0	1	0	0	0	
2	12	13	27	28	30	31	34	36	38	0	5	6	18	19	22	24	32	33	39	2	0	51	1035	0	125	13	36	0	4	0	0	0	
4	6	7	12	16	17	20	22	26	29	2	8	9	11	13	19	21	23	25	32	3	1	71	482	84	0	38435	1538	21	1	0	0	0	
5	9	15	17	19	24	27	29	32	38	0	4	6	8	14	18	20	30	36	39	0	2	115	23	0	3294	4653	0	7	0	0	0	0	
8	15	16	17	21	26	28	29	30	36	0	1	4	7	9	11	18	19	33	38	3	3	71	83	0	0	3013	1	14	3	0	0	0	
2	4	8	15	16	21	27	28	36	39	3	6	7	11	13	20	22	25	32	33	0	0	50	255	1547	0	32	0	17	0	0	0	0	
1	2	3	8	12	17	21	23	32	34	7	9	10	15	16	18	29	30	31	38	3	1	75	56	0	35	0	3	1	0	0	0	0	
2	3	4	10	15	17	20	21	32	36	5	6	9	11	12	22	25	29	30	35	0	2	57	0	0	27	31	0	0	0	0	0	0	
4	5	12	13	14	24	27	32	35	37	1	7	18	19	20	22	26	28	30	38	1	3	42	143	0	0	0	3	0	0	0	0	0	
1	3	5	8	13	18	19	35	38	39	10	11	12	16	20	24	25	27	28	31	3	0	76	217	129	222	56	115	11	0	0	0	0	
0	3	12	18	19	22	25	28	31	34	5	7	14	16	21	23	32	33	35	38	2	1	67	67	40	45	0	3	0	1	0	0	0	
3	7	12	25	26	30	32	34	37	38	0	1	2	10	11	13	18	27	28	36	1	2	29	0	193	252	453	379	0	3	0	0	0	
0	4	6	7	8	13	20	26	35	38	1	9	10	14	18	19	21	29	32	37	1	3	97	23	0	100	158	0	16	0	0	0	0	
0	10	11	15	21	24	27	28	32	33	7	8	13	18	19	23	29	30	35	38	3	0	98	209	95	58	0	101	0	0	0	0	0	
2	7	8	10	12	14	23	25	28	38	6	9	18	19	21	24	29	33	34	36	3	1	83	19	32	0	29869	1	0	0	0	0	0	
10	14	18	20	22	23	27	28	32	39	0	1	4	5	6	8	21	26	29	37	0	2	94	249	7027	2673	415	178	7	1	0	0	0	
2	7	9	11	15	18	31	32	34	37	3	6	10	12	14	17	29	30	33	36	0	3	65	199	108	48	0	1120	5	1	0	0	0	
7	8	11	13	14	19	20	29	31	37	0	2	4	16	23	25	33	34	35	36	1	0	42	71	0	189	1752	57	0	0	0	0	0	
1	2	11	12	20	21	28	29	31	39	5	8	9	13	19	25	26	27	32	38	2	1	94	0	0	88	0	47	15	1	0	0	0	
