Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
4	5	7	8	9	11	20	22	26	30	0	6	17	18	23	24	25	31	32	39	0	0	47	86	505	159	541	0	19	1	0	0	0	
1	6	7	8	12	16	19	22	32	39	0	4	9	11	20	23	33	35	37	38	3	1	62	6	201	1051	0	15	0	1	0	0	0	
0	5	7	14	15	17	25	28	29	30	3	8	10	11	12	19	24	31	36	37	2	2	77	27	14	0	31	14	2	2	7	0	0	
0	1	3	8	9	10	24	30	33	36	2	4	5	6	11	15	31	35	37	39	3	3	30	90	1348	0	57	0	0	5	0	0	0	
2	5	9	10	25	27	29	30	31	36	7	15	16	20	21	23	28	33	34	35	2	0	57	16	7	187	0	0	0	0	0	0	0	
3	4	12	16	17	20	22	29	32	35	0	2	5	6	7	8	9	10	26	33	3	1	24	1	0	6	0	0	0	1	0	0	0	
1	5	7	20	21	22	24	26	31	37	2	6	11	12	15	16	17	23	30	33	2	2	38	0	36	34	15	11	0	6	0	0	0	
1	16	24	25	26	29	30	32	36	39	6	7	8	17	18	20	22	23	27	33	1	3	45	4	690	26	0	35	10	12	0	0	0	
5	14	16	17	23	24	26	34	35	37	0	2	8	9	10	21	28	31	33	38	3	0	48	39	13	6	11	0	0	2	0	0	0	
3	4	5	9	11	15	20	26	36	38	2	16	18	19	23	25	30	32	34	39	1	1	67	1	0	13	5	0	1	1	0	0	0	
0	9	12	15	18	21	22	25	32	33	1	10	17	19	20	27	28	29	31	39	1	2	95	6	59	0	459	0	16	0	0	0	0	
11	14	17	23	24	25	29	30	31	39	3	5	15	20	21	32	33	35	36	38	3	3	77	42	51	38	21	0	14	5	0	0	0	
1	6	11	20	23	24	28	30	36	39	2	3	5	12	17	18	25	26	27	37	2	0	86	73	25	0	9	29	11	0	0	0	0	
