Mode: 18 #Games: 1000 Notes: u1-Deep
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
23	32	26	39	4	2	14	10	2	1	5	2	0	1	1	2	1	1	1	1	1	4	4	4	4	1	0	0	0	67
26	29	41	24	0	6	13	11	1	2	4	3	0	0	2	2	2	1	1	0	0	4	4	4	4	0	0	1	0	78
15	27	39	39	0	25	5	0	2	3	3	2	0	1	2	1	1	1	1	1	0	4	3	4	4	1	0	0	0	56
27	40	16	37	11	2	14	3	3	2	4	1	1	1	0	2	1	2	1	0	1	4	4	4	4	0	0	1	0	54
39	29	33	19	6	24	0	0	2	5	2	1	1	1	2	0	2	1	0	1	0	4	4	4	4	0	1	0	0	81
49	24	34	13	14	0	10	6	2	0	4	4	3	0	1	0	1	1	2	0	1	3	3	4	4	0	0	0	1	104
30	33	22	35	13	3	4	10	4	2	3	1	2	1	1	0	0	1	0	3	1	4	4	4	4	0	0	1	0	92
30	18	30	42	2	3	14	11	2	3	3	2	1	0	0	3	1	1	2	0	0	4	4	4	4	0	1	0	0	64
32	27	43	18	0	4	15	11	0	2	3	5	2	1	0	1	0	1	3	0	0	3	4	4	4	0	0	0	1	67
45	30	26	19	10	3	6	11	3	3	3	1	1	2	0	1	3	0	1	0	0	4	4	4	4	0	0	0	1	78
30	46	23	21	0	28	2	0	1	4	2	3	1	2	0	1	1	1	1	1	0	4	4	4	4	1	0	0	0	18
21	34	28	37	2	0	24	4	2	3	3	2	0	1	1	2	1	2	1	0	1	4	4	4	4	0	0	1	0	43
20	50	24	26	3	16	0	11	3	4	2	1	0	2	0	2	1	2	1	0	0	4	4	4	4	0	0	0	1	67
38	34	15	33	16	3	0	11	5	3	1	1	0	1	1	2	3	1	0	0	0	4	4	4	4	0	1	0	0	65
25	31	42	22	2	11	7	10	1	3	3	3	1	1	2	0	1	1	1	1	0	4	3	4	4	1	0	0	0	68
17	33	32	38	4	2	14	10	3	3	2	2	1	1	1	1	0	1	1	2	1	4	4	4	4	0	0	1	0	36
22	39	26	33	0	9	11	10	2	3	4	1	1	1	2	0	0	1	0	3	1	4	4	4	4	0	0	0	1	64
35	29	23	33	15	0	15	0	5	1	4	0	0	1	1	2	3	1	0	0	1	4	4	4	3	1	0	0	0	37
27	45	21	27	0	15	5	10	1	3	4	2	1	2	1	0	1	1	0	2	0	4	4	4	4	1	0	0	0	73
