Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
3	6	13	16	19	21	26	33	34	37	7	8	11	12	14	15	24	27	29	36	3	0	65	358	1329	370	142	98	0	4	0	0	0	
2	5	8	11	20	27	30	33	37	39	6	7	9	10	15	18	21	22	23	31	2	1	56	78	0	624	316	0	26	0	1	0	0	
3	11	14	18	19	26	27	28	29	31	0	5	6	10	15	21	23	25	32	36	1	2	71	92	4849	3698	485	797	0	7	1	0	0	
5	6	9	13	14	16	21	22	23	33	3	7	8	20	25	30	31	34	35	37	2	3	30	78	355	5288	0	0	0	2	0	0	0	
4	5	9	11	16	17	24	29	36	39	0	1	6	7	13	14	20	23	25	28	0	0	103	364	0	78	0	4	51	3	1	6	0	
1	9	15	16	19	20	24	26	36	39	3	4	8	13	22	27	28	33	35	37	1	1	84	104	0	10343	0	3	6	0	0	0	0	
0	8	13	14	18	21	24	31	34	35	4	7	15	27	28	32	33	37	38	39	0	2	80	47	0	231	215	102	6	0	1	0	0	
10	12	14	18	20	21	26	35	36	37	3	5	7	8	13	23	24	25	28	33	3	3	54	71	631	35808	0	4	46	5	1	0	0	
0	1	19	21	25	26	28	29	35	36	7	12	16	17	20	32	33	34	38	39	2	0	93	877	85	0	316	0	150	5	2	0	0	
5	8	15	22	23	25	32	36	37	38	1	3	17	18	19	20	24	28	35	39	2	1	66	0	403	10944	0	454	12	3	1	0	0	
6	8	9	13	18	19	20	27	36	37	1	2	5	10	15	21	23	30	38	39	2	2	81	133	257	0	98	0	30	4	0	0	0	
2	4	5	10	15	21	24	30	37	39	1	9	13	14	18	20	26	34	36	38	1	3	43	109	0	306	0	168	30	3	0	0	0	
3	5	6	9	12	13	14	37	38	39	17	19	21	23	24	25	32	34	35	36	2	0	50	766	3278	0	719	205	0	0	1	0	0	
2	4	7	14	21	27	28	31	32	35	0	6	8	11	16	22	33	34	36	37	0	1	52	155	38	55	303	0	0	1	0	0	0	
2	4	10	15	18	19	23	26	36	37	0	3	5	6	7	12	13	22	24	30	0	2	62	57	0	268	0	838	142	3	1	0	0	
0	10	11	12	14	15	23	27	34	36	6	8	9	16	19	24	29	30	31	39	0	3	89	52	0	137	141	132	8	7	0	0	0	
3	8	9	10	12	14	18	21	22	24	2	20	23	27	28	30	31	33	35	37	2	0	69	1226	5226	704	329	4	113	5	0	0	0	
0	2	9	16	18	25	32	35	37	38	4	8	12	13	17	28	29	30	33	34	1	1	65	82	221	3233	0	130	3	0	1	0	0	
1	3	5	16	19	20	21	25	26	37	2	7	11	13	15	22	29	31	32	38	2	2	77	277	246	15657	106	0	61	1	1	0	0	
1	4	5	8	9	10	17	29	30	39	2	6	13	14	15	18	21	26	33	34	2	3	34	250	13782	167	354	0	0	35	1	0	0	
2	7	8	13	16	20	23	26	30	32	0	4	10	12	17	19	21	24	34	35	0	0	74	223	66	0	208	1	0	2	0	1	0	
3	5	8	13	14	31	36	37	38	39	9	11	12	16	19	21	27	29	33	34	3	1	102	251	8478	7551	0	0	9	2	1	0	0	
6	7	15	19	21	22	23	29	35	39	2	10	17	24	27	31	33	36	37	38	2	2	82	50	0	40	0	292	0	3	1	0	0	
2	8	9	10	18	19	22	31	37	38	1	7	14	17	20	24	27	28	29	32	2	3	97	161	6548	0	0	2050	4	1	0	0	0	
6	8	10	19	22	25	27	30	34	39	0	1	11	15	16	17	21	29	33	38	2	0	68	403	118	0	12188	126	1	2	1	0	0	
3	4	6	10	12	20	22	25	26	34	0	17	18	23	24	27	28	31	32	33	0	1	6	43	841	0	0	52	24	1	0	0	0	
1	8	9	13	16	18	24	25	30	36	11	17	22	28	29	31	32	33	38	39	2	2	69	76	269	7356	0	4	13	1	0	0	0	
1	8	9	10	11	12	14	24	25	35	0	2	4	7	16	18	19	31	33	38	0	3	106	0	4732	0	51	0	39	13	0	0	0	
1	2	4	13	14	17	20	22	27	35	9	11	16	19	23	26	31	36	37	38	2	0	84	112	0	0	821	104	15	6	1	0	0	
4	8	14	17	25	26	27	30	36	38	0	1	3	10	11	12	22	23	32	34	1	1	20	110	896	18	0	50	0	1	0	0	0	
2	9	14	18	19	20	22	23	24	25	3	6	17	21	27	28	32	33	34	38	0	2	66	344	180	476	396	3	26	0	0	1	0	
4	6	15	16	17	22	24	28	32	35	0	1	2	8	9	10	11	14	36	39	3	3	34	145	21	65	73	187	0	3	1	0	0	
1	3	5	10	15	22	23	24	25	28	7	13	20	21	29	30	31	35	36	39	2	0	80	834	316	246	743	1582	21	2	0	0	0	
3	13	15	17	22	24	26	28	30	34	4	5	9	10	11	12	21	29	38	39	2	1	86	138	4157	226	262	0	0	0	1	0	0	
3	5	9	13	20	24	25	32	35	36	0	4	6	8	11	21	23	26	38	39	1	2	30	93	48	0	282	922	9	0	0	0	0	
0	2	6	8	12	16	22	25	34	36	1	19	20	28	29	32	33	35	37	38	1	3	59	107	54	376	0	0	49	1	0	0	0	
1	2	5	6	17	22	24	25	29	38	9	11	12	16	19	23	30	31	32	34	0	0	65	895	91	4032	0	4	9	5	1	0	0	
2	7	11	13	17	18	23	27	33	39	3	10	14	20	21	25	28	29	35	36	2	1	106	210	1721	73	86	0	64	0	1	0	0	
0	1	8	14	18	21	26	29	32	39	7	9	12	16	17	22	24	35	36	37	2	2	113	76	39	0	84	0	16	1	0	0	0	
3	5	7	11	12	21	25	26	30	36	6	10	13	15	17	19	23	28	33	39	0	3	59	170	0	359	1063	0	13	7	1	0	0	
7	8	14	15	20	24	26	33	37	39	2	9	11	16	17	21	25	28	34	36	2	0	92	249	0	175	0	1421	111	11	1	0	0	
2	7	8	10	18	22	23	24	31	37	1	6	12	17	19	20	28	29	35	38	0	1	34	37	0	230	1125	0	2	0	0	0	0	
1	3	11	12	14	15	28	35	36	38	4	5	7	8	16	21	24	25	31	32	3	2	65	39	0	0	29122	689	71	3	1	0	0	
6	9	12	14	15	23	24	26	27	28	5	17	18	19	20	30	31	33	36	38	3	3	70	276	0	919	326	0	7	5	0	0	0	
8	9	14	18	19	25	26	28	32	36	0	4	5	7	11	21	27	33	38	39	3	0	82	227	0	494	63	0	17	0	1	0	0	
0	1	2	6	7	8	9	13	22	30	12	15	17	18	23	29	33	36	37	39	0	1	118	660	0	927	25660	674	65	7	1	0	0	
0	3	10	13	14	18	20	24	38	39	1	2	8	9	12	23	30	32	33	35	0	2	76	26	75	66	64	0	0	1	0	0	0	
8	10	13	15	25	26	33	34	35	39	2	5	6	9	16	18	27	29	31	38	2	3	73	0	9426	65	146	2	86	0	1	0	0	
1	2	4	10	11	13	16	25	31	32	3	8	9	14	22	26	27	30	35	37	2	0	21	404	0	9867	0	0	5	2	1	0	0	
9	13	20	23	29	30	34	35	37	38	1	3	8	10	16	21	22	24	26	36	1	1	59	245	0	30534	0	193	7	3	0	0	0	
2	4	11	15	18	19	23	33	37	39	1	3	5	6	7	21	24	26	27	34	2	2	72	120	0	679	1011	403	23	2	0	1	0	
8	11	13	16	18	26	29	33	34	36	5	6	9	10	14	24	25	27	30	31	3	3	63	45	168	96	2481	0	0	2	1	0	0	
4	5	14	17	22	24	25	28	30	34	7	12	13	16	18	20	21	27	33	36	1	0	52	437	137	0	0	510	5	2	1	0	0	
1	5	8	17	25	28	31	32	36	37	0	4	6	7	9	20	21	23	29	38	3	1	91	0	6739	13	0	82	17	3	1	0	0	
0	4	5	6	8	18	28	29	33	37	2	10	11	19	20	23	24	32	34	35	2	2	67	382	10858	0	22979	2	6	9	0	1	0	
1	6	7	13	14	15	21	23	27	39	2	11	12	16	17	19	22	25	26	32	3	3	30	0	12610	1843	819	799	49	5	0	0	0	
3	4	5	11	12	19	23	27	36	39	6	20	24	25	26	29	31	33	35	37	3	0	106	380	0	145	0	3	52	2	0	0	0	
3	8	11	16	17	22	25	27	34	38	2	7	9	10	21	24	31	33	35	37	1	1	50	48	0	26	0	675	5	0	1	0	0	
3	5	10	11	19	20	24	29	38	39	1	4	8	12	13	16	23	30	32	35	1	2	71	106	0	289	11026	0	14	2	1	0	0	
0	5	7	10	17	21	27	30	35	36	3	8	12	13	15	23	26	28	32	34	0	3	26	63	23	42	0	51	1	0	1	0	0	
2	7	17	19	22	23	29	35	37	39	4	5	6	10	12	14	15	18	27	30	2	0	74	193	0	238	2058	1	0	1	0	2	0	
3	8	13	16	17	29	30	31	36	38	1	7	12	15	24	25	28	32	35	37	0	1	37	142	4390	158	0	221	1	0	0	0	0	
2	5	6	8	13	18	28	29	35	38	4	7	15	21	23	24	26	34	37	39	2	2	108	83	53	556	0	4	0	1	0	0	0	
0	11	14	16	21	23	29	32	34	35	1	2	3	5	13	18	19	25	27	39	0	3	77	302	112	5303	0	1412	8	1	0	0	0	
2	10	14	20	22	23	25	26	33	39	1	5	6	11	15	19	30	31	34	38	2	0	60	839	180	171	303	123	3	0	0	0	0	
2	4	8	10	13	22	25	30	34	39	5	7	9	11	14	17	26	31	33	38	2	1	43	38	75	83	0	553	0	2	0	0	0	
3	5	11	13	18	25	28	33	34	36	0	6	12	14	16	20	21	22	27	32	0	2	39	36	1322	53	0	56	3	1	0	0	0	
