Mode: 22 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
3	6	8	14	16	17	27	30	31	33	1	2	12	18	21	24	35	36	37	38	2	3	42	244	2562	158	130	0	26	7	0	3	0	
1	3	4	12	22	23	26	28	31	35	2	7	8	10	11	20	27	32	33	34	2	0	57	976	0	416	0	0	71	8	0	2	0	
3	4	11	13	20	22	25	27	32	35	0	1	10	15	17	26	28	30	36	37	2	1	66	192	0	0	0	856	15	8	0	1	0	
0	15	18	19	21	25	26	33	36	39	5	9	11	12	13	20	22	24	29	31	0	2	60	725	226	0	0	636	10	3	0	0	0	
5	6	7	12	30	31	33	37	38	39	11	16	17	19	20	21	25	27	29	36	3	0	107	2622	2434	2561	2579	2796	228	37	68	10	0	
0	12	16	17	20	21	27	28	37	39	3	5	7	8	13	18	22	25	32	36	0	1	69	401	18437	691	0	13	0	78	99	27	0	
1	3	8	17	19	20	21	22	38	39	2	9	10	13	16	18	28	30	32	37	1	2	95	0	51	0	4300	0	36	0	2482	0	0	
0	1	4	11	13	20	21	25	30	39	6	8	10	12	14	16	27	34	35	38	1	3	59	41	0	0	140	819	0	8	1	1	0	
8	10	11	12	24	28	31	33	34	38	1	4	5	7	9	15	19	22	25	27	0	3	102	0	0	0	46136	1623	114	0	38	11	0	
2	3	7	10	13	19	20	27	28	32	5	8	9	17	24	25	29	34	36	39	0	0	101	3088	4303	0	249	143	0	55	0	6	0	
2	3	5	9	11	13	23	32	35	36	10	14	17	18	21	24	33	34	37	38	0	1	40	0	807	693	2314	1502	55	891	4	0	0	
3	10	12	23	25	26	27	29	33	35	6	8	11	15	19	20	22	32	36	39	1	2	67	987	9484	452	0	540	68	29	1	1	0	
0	10	12	19	27	30	34	37	38	39	1	3	6	7	8	11	13	17	20	32	0	0	104	1927	1127	0	45868	0	157	59	8	15	0	
8	15	21	25	27	28	31	32	37	38	0	2	3	6	16	17	18	19	20	29	2	3	107	239	21613	0	0	38	0	24	41	15	0	
0	6	23	24	25	27	29	30	31	33	4	8	9	11	12	18	26	28	34	36	1	0	72	2269	0	480	711	3806	25	4	0	0	0	
0	4	6	15	27	30	33	36	37	39	1	2	5	9	12	14	17	18	20	21	0	1	51	857	13984	0	27228	1711	141	12	5	4	0	
2	7	12	13	18	22	31	32	37	38	10	15	16	23	24	26	27	34	36	39	3	1	58	164	240	5883	0	7333	94	9	5	1	0	
2	5	7	14	22	27	28	35	38	39	0	1	8	10	20	26	30	32	33	37	0	2	90	0	20916	110	0	2365	5	0	1	1	0	
6	10	18	20	21	24	26	29	30	35	2	4	8	9	14	17	31	32	33	34	3	3	43	0	13359	0	938	6	113	3	1	0	0	
6	8	16	20	22	26	29	32	36	38	0	1	7	9	12	13	21	24	27	34	0	0	75	2094	11444	323	0	9	51	8	0	1	0	
0	1	2	4	10	16	17	34	37	39	5	6	12	18	21	22	23	26	33	35	0	1	48	94	174	0	285	35	1695	229	86	160	0	
0	3	6	8	12	14	15	21	29	36	2	4	5	10	20	23	26	27	32	34	0	2	57	197	0	92764	1969	1124	20	0	2	0	0	
3	5	15	20	22	23	27	31	32	37	1	7	9	11	13	17	21	35	36	39	2	2	82	223	71	414	910	0	250	121	0	324	0	
1	8	10	12	18	27	28	29	33	38	0	2	4	7	9	11	13	17	24	26	1	3	98	327	906	0	4260	0	253	0	13	5	0	
0	3	6	8	14	17	19	23	25	31	2	7	10	13	18	20	24	32	33	38	1	0	79	2055	0	1536	242	0	53	848	1	0	0	
5	17	19	22	25	28	30	34	35	36	0	1	6	9	15	18	21	27	31	33	0	1	96	739	50	0	286	0	223	4	3	1	0	
4	9	13	14	15	16	19	22	30	38	2	5	8	17	18	23	28	31	35	37	2	3	80	744	0	48620	0	2202	173	0	12	9	0	
0	5	6	10	18	19	21	23	28	31	2	8	9	14	15	20	25	26	32	36	1	0	69	5362	34376	1858	135	0	99	0	5	3	0	
0	3	12	14	15	18	22	32	33	39	2	4	7	10	20	21	26	28	35	36	1	1	67	0	644	512	263	9580	50	0	41	11	0	
1	3	4	5	19	24	26	30	32	36	0	6	9	13	14	20	21	28	37	39	3	2	68	647	0	245	0	44	48	17	4	12	0	
2	3	4	5	6	12	14	16	20	21	1	9	15	17	22	23	24	25	30	33	3	3	15	849	748	1428	575	730	96	42	27	19	0	
2	5	12	15	19	22	27	29	37	39	0	4	7	13	16	21	23	30	31	36	2	0	54	2312	0	704	0	238	12	0	4	4	0	
9	11	13	14	15	16	30	32	34	38	0	2	5	20	22	24	25	26	36	37	1	2	80	0	75226	20742	1817	979	306	4	3	1	0	
3	11	18	20	22	29	31	37	38	39	0	2	6	7	8	10	16	24	30	36	3	1	79	1623	16587	355	7005	109	0	0	1	1	0	
13	15	17	20	24	27	31	33	34	35	4	5	7	8	10	11	18	21	26	38	0	3	46	310	117	394	293	694	93	39	82	46	0	
2	4	5	7	9	21	23	24	28	33	0	1	10	14	22	29	30	32	36	37	0	2	66	2376	1450	949	50456	0	69	19	0	1	0	
2	7	14	16	17	18	19	21	24	28	1	3	4	8	11	20	23	26	29	34	3	3	26	800	1338	1366	1495	1360	187	15	1	0	0	
3	12	14	15	18	22	23	34	35	39	1	5	13	16	17	20	21	24	25	29	1	0	37	1012	677	25199	0	12524	11384	64	0	22	0	
1	11	12	17	20	21	31	32	35	38	5	6	7	9	14	16	24	25	27	28	3	1	42	0	2652	7807	0	563	0	0	14	81	0	
1	12	15	21	24	25	27	28	31	33	6	7	13	16	17	19	23	36	38	39	2	2	84	556	0	3497	1015	63	0	114	45	48	0	
3	7	10	21	27	28	32	34	37	38	1	2	4	8	17	19	22	24	25	35	3	3	80	4640	205	0	44777	0	47	16	0	6	0	
0	4	9	14	22	24	26	34	36	39	1	2	7	8	11	12	27	29	35	38	3	0	86	2501	690	0	2096	2146	261	12	11	6	0	
1	4	9	12	15	19	28	32	34	39	14	16	17	20	22	23	25	29	33	35	2	0	77	3421	143	0	314219	302	1106	5	1	0	0	
4	6	10	18	24	27	28	30	33	37	2	7	16	19	25	32	34	35	38	39	0	1	43	1072	285	212	545	0	49	0	1	6	0	
0	6	15	16	18	26	28	29	30	33	1	4	9	10	13	14	19	21	23	27	3	2	30	324	97	0	2031	7	0	1024	0	4	0	
2	5	6	10	15	18	21	28	32	34	1	4	8	9	19	22	23	24	26	29	2	1	83	538	385	0	2205	86	2911	0	4	3	0	
5	6	11	14	23	24	27	31	33	35	2	9	15	19	26	29	32	34	37	38	3	2	63	148	0	315	1706	129	0	0	2	3	0	
0	17	18	23	24	26	29	30	33	35	1	2	4	7	12	13	14	19	25	36	2	3	80	354	2821	0	227	0	68	8	1	0	0	
2	3	8	13	14	23	26	29	34	39	0	1	5	12	19	21	24	32	33	35	0	0	63	366	0	109	117	0	0	0	1	1	0	
1	4	7	11	17	23	25	26	28	38	6	8	19	20	29	30	31	34	35	39	2	1	88	200	0	67904	1529	1598	0	2	1	0	0	
1	7	10	12	27	28	29	30	35	39	2	4	11	13	14	19	20	26	33	37	1	2	84	80	3172	0	15889	0	25	13	1	0	0	
2	15	16	30	31	33	34	36	37	38	4	6	7	8	10	21	23	27	28	35	2	3	46	0	1441	556	182	197	26	6	2	0	0	
2	9	11	19	24	25	29	34	36	38	1	4	10	12	15	16	18	26	31	35	3	3	95	65	0	202361	1736	5875	93	12	0	3	0	
3	4	15	19	21	22	24	27	28	36	0	7	9	12	14	18	20	31	32	38	0	0	56	1024	582	24424	1367	1007	0	25	2	3	0	
2	4	8	9	14	24	29	32	34	38	1	5	15	18	21	23	28	33	36	39	0	0	106	913	8153	19418	324	0	2551	26	0	8	0	
0	2	9	15	16	17	23	25	29	35	6	7	8	10	14	19	22	33	36	37	0	1	72	145	1093	0	483	14	0	7	3	7	0	
10	12	17	21	25	26	28	31	32	35	1	2	13	19	22	30	34	36	37	39	3	2	80	511	0	2034	914	743	34	13	0	0	0	
2	12	13	17	20	23	26	31	32	36	4	5	6	10	11	24	25	27	28	29	0	3	50	0	871	612	691	650	49	3	0	1	0	
3	6	11	18	21	22	23	28	29	35	0	4	5	8	10	15	19	20	31	37	3	0	43	1497	0	205	0	0	33	15	1	0	0	
0	3	15	18	19	20	23	28	32	38	4	5	9	10	11	13	17	26	33	34	3	1	43	304	7244	0	75271	0	4188	9	6	12	0	
4	15	17	18	29	32	33	34	35	37	1	2	9	16	19	23	24	36	38	39	0	2	96	0	19821	9923	814	379	4	1	1	0	0	
1	13	14	16	20	23	25	27	36	38	7	9	12	17	19	21	22	29	30	34	0	3	76	0	372	243	0	6	0	10	1	0	0	
1	11	13	19	20	21	24	31	33	38	2	3	4	5	6	7	8	14	28	39	2	1	35	446	0	494	2504	824	0	8	0	3	0	
1	6	11	15	16	22	32	33	35	38	7	8	14	19	21	26	27	30	37	39	1	0	73	607	2090	0	1907	6	0	4	2	3	0	
4	11	20	23	25	27	30	34	37	38	1	3	8	12	13	15	16	18	24	28	3	2	52	0	5832	3810	1717	1851	57	34	0	14	0	
3	4	5	7	12	17	22	27	35	37	6	8	11	13	14	15	18	24	26	38	1	3	94	166	0	371	347	0	73	16	4	7	0	
0	6	10	11	13	20	22	32	33	35	5	8	9	15	19	26	29	31	34	36	3	0	78	491	0	673	0	334	49	5	5	0	0	
1	5	7	11	12	16	17	22	23	33	2	6	9	10	13	14	15	18	27	38	0	1	79	0	285	0	0	5130	1471	10	5	283	0	
2	9	10	12	14	17	26	27	33	37	3	7	8	13	18	21	29	32	34	39	3	2	82	154	0	130	0	595	109	3	0	1	0	
2	3	19	27	29	31	33	34	36	38	6	7	12	13	20	21	24	25	28	39	2	1	81	264	0	70748	0	9	22	0	2	0	0	
3	12	14	15	21	29	31	32	38	39	1	4	7	13	16	18	23	24	25	34	0	2	53	350	365	272	0	6	57	0	0	2	0	
1	8	11	12	14	19	24	32	38	39	2	7	10	13	15	17	25	27	30	37	3	3	44	190	0	0	2102	229	11	0	564	3	0	
0	1	17	19	21	22	25	34	36	38	3	4	5	7	24	28	29	30	32	37	3	3	69	68	0	0	1427	799	0	8	12	8	0	
0	8	9	10	20	24	25	28	29	31	2	4	6	7	11	14	16	17	21	26	2	0	85	1672	12021	0	0	2870	126	10	4	1	0	
4	7	14	17	26	27	28	30	34	36	0	5	11	15	18	29	31	32	33	38	0	1	43	115	0	13508	0	7	35	5	0	0	0	
0	3	10	12	17	20	21	22	23	34	1	2	4	13	15	16	19	26	32	39	0	2	34	138	0	80	0	235	4	0	0	0	0	
0	2	4	6	8	10	18	23	29	37	1	5	7	9	12	14	21	22	24	31	0	0	104	3177	0	0	35141	489	23	0	1	1	0	
8	9	10	12	16	21	24	29	35	37	1	3	11	14	19	22	26	30	31	32	1	3	82	130	160	0	9382	0	221	11	9	0	0	
1	4	7	12	14	23	27	33	34	35	2	5	11	17	21	22	24	29	32	39	0	1	59	131	3081	0	120	37	12	0	1	0	0	
2	7	9	15	18	22	27	33	37	39	0	1	4	5	11	19	24	28	32	34	2	0	82	1060	0	498	274	11	0	13	5	1	0	
1	3	7	9	10	12	14	16	22	23	2	4	13	17	19	25	30	36	38	39	3	2	30	481	1593	1146	809	585	0	3	1	0	0	
1	2	9	17	25	27	33	35	36	37	4	5	11	19	20	21	22	23	31	32	1	3	43	155	80	0	0	154	0	3	0	1	0	
0	3	8	11	20	24	25	32	33	39	1	4	9	12	15	22	23	31	35	38	0	1	68	0	1333	16224	0	687	4	18	0	6	0	
1	5	7	10	11	13	21	25	27	34	9	14	15	17	18	23	28	29	31	35	3	0	37	1249	452	0	1484	0	262	7	4	1	0	
0	1	8	9	11	14	18	19	21	27	4	6	13	17	24	25	31	32	36	39	2	2	52	1166	37991	213	1117	253	528	232	78	16	0	
5	9	14	15	18	22	31	32	37	39	4	11	12	16	17	19	23	24	33	34	1	3	82	1039	7308	490	0	818	19	0	2	0	0	
2	3	11	14	16	19	25	31	33	38	5	9	10	17	18	20	23	28	35	37	3	1	68	0	0	268	187	314	72	0	1	0	0	
