Mode: 22 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
1	3	7	9	10	12	14	16	22	23	2	4	13	17	19	25	30	36	38	39	3	2	30	481	1593	1146	809	585	0	3	1	0	0	
1	2	9	17	25	27	33	35	36	37	4	5	11	19	20	21	22	23	31	32	1	3	43	155	80	0	0	154	0	3	0	1	0	
0	3	8	11	20	24	25	32	33	39	1	4	9	12	15	22	23	31	35	38	0	1	68	0	1333	16224	0	687	4	18	0	6	0	
1	5	7	10	11	13	21	25	27	34	9	14	15	17	18	23	28	29	31	35	3	0	37	1249	452	0	1484	0	262	7	4	1	0	
0	1	8	9	11	14	18	19	21	27	4	6	13	17	24	25	31	32	36	39	2	2	52	1166	37991	213	1117	253	528	232	78	16	0	
5	9	14	15	18	22	31	32	37	39	4	11	12	16	17	19	23	24	33	34	1	3	82	1039	7308	490	0	818	19	0	2	0	0	
2	3	11	14	16	19	25	31	33	38	5	9	10	17	18	20	23	28	35	37	3	1	68	0	0	268	187	314	72	0	1	0	0	
1	4	8	11	26	30	35	36	37	39	7	10	13	18	24	25	29	33	34	38	2	0	58	4375	2941	1941	245	2341	0	17	23	4	0	
1	4	8	11	26	30	35	36	37	39	7	10	13	18	24	25	29	33	34	38	1	2	81	314	0	1983	2068	0	40	4	0	0	0	
3	8	13	14	15	16	17	21	28	35	1	9	10	12	20	22	23	24	26	32	0	1	71	248	0	2738	1626	0	8093	191	0	53	0	
3	5	7	10	11	18	27	30	36	37	2	6	15	17	21	22	26	32	35	38	3	2	40	430	129	0	927	0	178	7024	0	7	0	
9	12	14	15	20	21	25	28	32	33	2	7	13	19	23	24	31	34	35	38	3	3	71	219	242	0	9866	0	217	0	19	14	0	
4	8	9	13	15	19	20	24	28	39	1	7	12	16	21	22	25	32	37	38	1	0	82	1546	10632	0	10873	47	155	31	14	0	0	
1	3	6	8	13	15	17	31	35	38	5	9	16	21	23	24	28	34	36	39	1	1	48	2058	1421	854	2361	936	30	26	0	14	0	
6	13	18	19	21	23	25	26	36	38	3	4	5	7	11	16	30	32	35	37	0	3	70	145	0	169111	11053	14	0	20	14	12	0	
2	6	15	16	26	29	30	32	33	39	3	7	10	11	12	17	21	36	37	38	0	0	30	945	0	779	1138	0	11	10	11	7	0	
0	2	6	7	9	10	13	16	19	27	11	15	20	21	28	29	30	33	37	38	0	1	71	2532	2344	699	12802	0	442	7	5	4	0	
2	4	6	8	26	27	29	33	35	38	0	15	16	19	24	25	30	31	32	36	2	2	79	698	8097	654	18716	0	431	17	615	0	0	
2	10	17	22	23	31	32	34	35	37	6	7	11	13	15	19	25	28	30	38	1	3	63	286	0	987	16574	0	30	10	0	4	0	
6	7	9	20	22	24	26	27	31	38	0	2	10	19	23	25	33	34	35	39	0	2	77	1756	17441	172780	8107	2419	0	269	0	537	0	
2	4	5	6	7	14	23	24	26	28	12	18	19	20	21	22	25	31	35	37	0	0	62	4045	4540	46751	1527	5	0	1035	2	0	0	
4	5	15	16	17	22	30	35	37	39	2	7	10	14	26	27	31	33	34	38	1	1	37	307	2758	0	915	10	184	0	2	0	0	
1	3	9	11	18	21	24	28	29	35	4	10	12	13	19	20	26	30	31	37	0	3	67	0	32546	0	1936	6314	246	16	4	4	0	
0	8	10	19	20	25	26	31	32	38	2	6	12	17	21	27	28	35	36	37	1	0	61	1403	0	188	0	62	16	8	0	0	0	
3	9	13	14	18	30	31	32	35	37	2	10	12	21	23	24	26	28	38	39	0	1	60	1845	4394	4037	288	0	35	12	2	1	0	
2	4	7	15	19	23	24	28	34	37	3	5	8	11	12	14	25	32	36	39	2	2	57	251	9868	116	0	233	0	16	0	11	0	
1	6	8	10	18	19	25	30	32	33	7	9	11	12	16	26	31	35	37	38	3	3	99	420	119	597	0	570	0	3	0	1	0	
1	13	14	15	16	17	21	26	35	37	0	4	6	7	9	12	20	25	27	36	0	2	47	617	134	386	0	0	29	3	2	2	0	
3	6	8	10	15	17	18	27	35	38	7	11	13	16	29	30	31	32	36	39	0	3	89	943	4938	0	1743	326	10	0	1025	0	0	
4	7	9	11	14	18	25	26	27	28	0	2	12	20	23	24	32	34	35	37	2	0	71	1821	2816	1746	19241	0	92	0	9	14	0	
3	9	12	15	17	21	24	28	30	38	0	2	4	8	11	19	27	29	33	37	0	0	96	2311	0	699	61731	747	0	529	3	1	0	
5	9	12	15	20	22	24	31	33	39	4	6	11	16	17	23	25	32	34	35	2	1	49	450	19725	0	261	0	9	0	3	1	0	
0	5	6	8	13	21	28	31	33	39	1	3	7	9	11	12	16	17	19	35	3	2	107	618	6539	0	1769	1072	0	971	1	1	0	
4	10	15	16	20	25	27	35	37	38	1	2	6	11	13	24	28	33	34	39	1	3	45	1415	4414	246	2388	0	6	5	0	1	0	
5	6	10	14	16	21	23	26	30	32	1	3	4	7	8	11	13	18	19	27	0	1	103	308	95	2180	0	924	0	708	1	0	0	
9	13	14	21	25	27	31	33	35	38	1	7	8	10	16	18	19	28	30	37	2	0	73	1857	17135	0	5912	1481	22	10	5	1	0	
0	2	12	13	17	21	24	30	31	32	1	8	11	16	18	20	22	23	35	36	2	1	38	0	0	0	138	0	21	15	4	1	0	
4	5	6	13	15	20	22	23	30	31	3	10	11	12	18	24	25	27	29	34	1	2	64	62	0	0	1175	8	10	0	0	0	0	
2	10	14	15	16	18	21	30	34	36	0	1	6	8	12	13	17	20	23	28	3	2	21	0	3769	37000	41879	19118	0	13	12	13	0	
2	4	5	7	10	24	31	34	35	37	3	6	14	16	25	28	32	33	36	38	1	3	35	0	2638	198816	2816	2615	963	7	1	1	0	
2	4	9	10	12	17	19	21	23	26	5	8	13	28	30	33	34	36	38	39	2	3	63	2781	34657	9926	3620	25	71	15	12	0	0	
8	13	14	16	17	18	19	29	36	39	2	3	4	6	9	10	20	21	31	35	2	0	59	7918	33077	2310	0	807	713	8	6	1	0	
3	6	16	18	21	22	26	29	33	35	4	5	8	9	14	15	23	24	25	37	2	0	103	1421	0	27784	0	262	32	0	2	1	0	
2	6	7	8	10	14	15	30	34	36	9	13	18	23	24	25	27	31	37	38	0	1	64	482	1028	1178	654	1270	55	89	0	98	0	
7	11	13	14	16	20	21	24	29	31	1	5	9	17	22	23	30	35	36	39	2	2	99	0	2110	2158	1388	548	11	22	0	0	0	
4	5	8	9	13	19	24	27	28	39	1	3	7	11	15	16	29	32	33	34	0	1	115	74	0	35704	39823	194	41	7	3	4	0	
1	4	15	17	20	21	28	29	30	38	2	7	14	16	18	23	26	32	34	35	0	3	61	592	0	36843	0	346	0	24	28	8	0	
3	12	16	18	21	24	25	26	29	38	1	2	7	10	15	17	20	30	33	37	2	2	89	833	35873	1039	38118	0	748	79	14	0	0	
1	5	9	16	17	20	23	25	27	35	3	7	14	15	22	29	30	33	36	37	3	3	33	1480	5106	0	1850	262	26	0	0	55	0	
4	6	7	16	17	23	26	30	32	38	1	2	3	11	12	14	18	28	31	37	1	0	38	1060	161	0	2895	1153	118	0	7	6	0	
3	7	10	12	19	21	30	31	33	36	1	5	9	11	13	14	23	26	27	37	3	1	39	288	0	1046	608	274	0	2	2	0	0	
0	13	14	19	20	31	32	33	35	39	5	8	9	10	11	15	26	27	28	37	3	2	93	327	0	0	0	475	16	4	3	1	0	
0	1	3	5	12	15	17	19	20	28	2	7	9	21	23	24	29	34	35	38	3	0	45	2799	1375	1335	4276	8	507	0	0	6	0	
5	6	10	11	12	22	26	32	33	36	0	7	8	23	27	28	31	35	37	39	2	1	64	292	0	652	0	0	541	11	0	6	0	
7	11	14	22	23	24	26	33	36	39	2	3	12	13	17	19	27	29	31	37	3	2	42	738	12178	0	13059	17	30	9	0	0	0	
0	6	9	28	30	31	33	35	36	38	3	4	5	10	11	12	16	18	20	29	3	3	75	2047	3238	4497	49486	16	212	16	5	6	0	
10	12	14	15	17	18	19	20	23	31	2	3	7	11	16	26	29	32	33	36	0	0	30	6049	22242	857	1691	904	19	0	0	1	0	
1	4	7	9	13	24	28	35	37	39	0	2	3	6	10	16	20	25	27	38	0	3	90	575	0	1581	41741	274	4	0	2	1	0	
3	8	15	17	18	20	28	29	35	38	4	7	13	14	21	23	24	27	32	37	3	0	85	1316	0	223	148	589	62	2	1	1	0	
2	9	14	16	17	20	26	29	30	35	4	7	19	21	22	24	28	31	36	39	0	1	64	154	0	594	403	253	0	10	0	1	0	
0	1	5	10	12	14	30	32	33	36	4	8	13	17	18	20	21	23	25	34	3	2	16	369	721	0	2659	679	1571	1	1	1	0	
2	3	8	10	18	22	23	24	28	30	0	1	5	6	11	14	19	25	32	34	2	3	36	206	1013	0	506	757	817	1046	1	0	0	
1	2	7	11	12	16	26	27	32	37	3	4	6	13	17	18	21	22	28	31	0	0	23	623	0	244	252	0	2	0	1	0	0	
8	9	10	13	14	16	24	29	34	35	4	5	6	12	18	19	21	23	37	39	2	1	67	78	0	10647	0	114	44	12	1	0	0	
0	6	7	9	12	14	18	26	32	37	8	13	16	20	22	23	33	34	36	38	1	2	55	0	39270	410	0	1360	1101	9	2	1	0	
2	7	9	10	11	14	15	17	34	39	4	12	13	22	24	25	26	27	30	36	3	1	62	529	29328	3528	221159	943	511	27	9	9	0	
7	10	12	15	18	20	26	30	35	37	5	11	13	14	16	17	21	24	28	34	0	2	23	0	72511	0	1437	2091	0	976	526	8	0	
0	12	17	19	20	21	26	28	34	38	1	6	9	13	14	18	25	29	32	33	1	3	98	170	19297	0	852	25	0	14	4	8	0	
2	17	18	21	24	26	28	29	30	31	9	12	14	19	20	25	32	33	38	39	0	3	70	0	0	5405	140675	934	38	0	978	6	0	
3	4	8	12	14	16	21	24	26	38	1	7	11	19	20	23	27	30	31	39	1	0	73	1049	190	488	0	0	0	6	0	4	0	
2	15	16	19	22	25	28	32	33	36	3	5	9	10	11	12	17	18	20	29	2	1	63	292	282	1263	2941	0	0	552	6	2	0	
1	3	8	9	20	21	27	29	30	35	0	13	16	22	25	26	31	32	36	38	2	2	109	353	255	265	0	11	0	11	2	1	0	
6	11	13	20	21	23	26	28	32	39	0	2	9	17	18	22	24	29	30	33	2	3	99	208	0	1850	1427	1233	0	31	5	5	0	
13	14	18	24	26	29	30	32	35	37	5	7	8	11	15	16	17	27	28	38	2	0	70	1966	0	1983	975	1894	35	7	3	2	0	
2	3	4	12	15	18	27	29	36	37	0	10	17	20	23	24	25	30	35	39	3	1	62	40	0	19304	0	15	835	4	0	0	0	
6	11	12	13	16	17	18	21	22	23	0	2	8	9	14	25	26	27	29	32	0	2	30	0	2838	409	331	0	50	17	6	5	0	
2	11	12	16	17	22	23	27	34	38	7	8	9	13	14	18	19	24	28	39	1	3	98	195	205	0	1033	716	24	7	6	0	0	
0	3	4	8	10	12	17	27	36	39	2	5	7	15	19	21	25	26	28	32	2	0	66	2421	206	0	25658	4872	17	11	3	0	0	
2	3	18	21	23	25	31	33	34	36	0	4	9	11	13	20	22	24	29	30	2	0	81	889	515511	376	2219	12	15	0	0	0	0	
2	6	7	13	17	22	26	28	32	36	0	1	4	10	11	23	24	27	33	38	3	1	16	259	186	651	0	323	0	12	1838	2	0	
1	8	9	19	21	22	28	30	36	38	2	3	5	11	16	17	18	25	32	39	3	1	64	1979	27167	794	1806	0	642	46	0	15	0	
0	3	11	12	13	18	22	23	26	33	2	8	14	15	21	25	27	29	32	37	2	2	36	186	265	483	994	2363	0	16	0	4	0	
0	9	11	12	16	17	22	23	27	38	10	13	19	24	30	32	33	34	35	36	1	2	93	0	47330	45	311	0	346	2	4	5	0	
5	8	10	13	15	16	28	32	33	35	6	9	12	17	19	22	24	34	37	38	3	3	43	350	153	997	0	518	10	0	1	0	0	
0	11	13	15	17	19	21	28	35	36	1	2	10	14	22	24	26	30	32	38	1	0	70	3917	0	131	0	1223	35	50	2	1	0	
1	10	11	13	20	24	25	30	32	35	4	7	8	12	14	15	17	26	29	33	3	3	25	413	300	0	0	2383	616	12	4	2	0	
6	7	10	18	20	21	24	25	29	35	1	3	4	8	9	14	15	33	38	39	1	1	58	0	2470	659	11887	0	42	7	2	1	0	
5	6	9	16	22	24	27	28	36	37	3	7	8	10	12	25	31	33	35	38	0	0	103	1842	5017	3532	12707	1246	0	526	0	2	0	
0	1	5	7	8	12	14	21	27	34	9	17	18	20	23	24	28	30	33	39	2	2	102	0	1364	20206	0	3808	358	64	6	23	0	
2	3	17	18	19	24	27	31	34	37	0	4	15	21	22	29	32	35	36	39	2	3	68	729	6952	334	0	4907	46	0	573	0	0	
8	10	13	20	21	23	24	33	34	36	1	2	4	5	7	9	14	17	28	37	2	0	29	877	0	240	331	414	20	0	1	2	0	
0	7	9	12	19	23	26	31	37	39	2	8	10	18	21	22	24	33	34	38	3	1	88	75	0	267	376	246	0	2	2	1	0	
18	20	23	25	26	29	30	31	35	36	2	5	7	10	13	14	21	33	37	38	0	2	29	1123	1340	23807	3215	2465	47	6	1	1	0	
4	5	7	10	20	23	24	35	37	38	2	6	8	14	15	16	25	26	27	39	0	3	69	201	0	525	15494	1414	62	6	2	0	0	
3	5	8	11	13	22	24	26	27	37	0	2	6	10	19	30	31	33	34	39	3	1	97	243	0	907	10585	6174	408	0	19	9	0	
1	6	7	10	16	17	24	27	35	38	2	3	9	11	14	18	20	25	36	37	3	2	19	367	0	33237	0	1505	18	12	1870	1	0	
5	7	8	15	16	19	25	26	28	37	0	2	4	6	12	14	24	27	30	34	0	0	51	3201	11377	0	31323	237	133	0	15	12	0	
5	17	18	20	25	27	31	32	37	39	7	9	11	14	21	23	26	28	29	30	3	3	74	328	866	0	772	19	9	0	0	1	0	
7	8	13	15	17	21	26	27	35	38	3	10	12	16	18	19	22	30	33	37	2	1	89	295	2144	0	182	0	1288	0	2122	22	0	
5	11	12	19	20	24	25	27	30	36	0	2	4	6	13	16	17	21	26	39	2	0	64	1380	1037	1433	408	1477	0	27	0	6	0	
1	7	12	20	22	27	28	30	38	39	2	3	9	16	18	19	21	24	32	35	3	1	90	568	9457	0	42223	1225	0	12413	13	10	0	
6	10	17	18	22	25	27	29	32	38	2	7	9	11	16	21	24	33	35	39	0	2	96	959	15163	0	1223	0	23	13	15	9	0	
0	2	7	9	16	22	24	26	35	38	1	5	8	12	23	25	29	30	32	37	1	3	17	215	0	155	118	0	33	1562	9	12	0	
0	6	9	16	19	21	31	36	38	39	1	3	5	10	22	25	26	33	34	35	2	1	73	502	0	140670	2711	322	53	5	1	0	0	
6	9	20	22	25	27	28	36	38	39	0	2	8	10	16	18	21	31	33	35	3	2	62	1295	350	1073	2212	1591	16	0	1	0	0	
2	3	4	5	11	16	26	27	28	33	1	6	10	17	19	21	23	31	37	39	2	3	62	0	595	511	92	2	0	1	0	0	0	
4	7	11	13	20	22	29	35	37	39	2	5	12	17	18	19	21	25	27	33	0	0	50	3146	0	557	676	9	0	8	0	757	0	
0	5	6	15	17	18	26	27	30	38	4	7	8	9	13	22	28	32	33	37	2	0	68	853	1443	147	0	7	20	0	2	1	0	
4	6	8	12	13	19	24	26	35	37	2	3	5	9	16	17	18	21	25	27	2	1	37	74	83	101	87	0	312	21	2	4	0	
0	5	6	11	14	15	20	25	27	33	2	7	8	9	17	22	23	30	31	39	0	2	105	0	770	45899	604	137	17	0	1	1	0	
3	4	8	16	20	24	27	29	36	39	5	6	7	9	11	13	14	23	25	37	1	3	41	0	791	83	0	149	0	17	1	4	0	
1	3	4	6	15	20	22	28	32	35	5	7	8	12	21	26	27	29	34	38	1	0	36	1117	140	0	556	433	1	0	1	0	0	
3	6	14	16	21	27	28	31	32	38	2	9	10	11	15	23	24	25	34	36	0	1	34	56	0	7016	0	102	64	0	1	0	0	
0	5	6	15	17	18	26	27	30	38	4	7	8	9	13	22	28	32	33	37	3	2	58	588	2050	0	995	6	19	1	0	0	0	
11	15	17	19	20	21	22	24	26	34	2	5	7	8	12	18	27	28	30	38	2	2	100	1246	1120	3377	788	243	60	8	4	3	0	
3	5	8	17	18	19	27	33	34	36	0	1	4	6	22	24	29	30	32	37	0	3	65	197	6398	747	1284	0	0	3	1	3	0	
3	8	19	20	22	25	26	30	31	35	9	12	13	23	29	32	34	36	37	39	0	3	53	281	2045	442	0	13	119	17	1	2	0	
1	2	3	9	12	22	23	27	30	33	0	13	18	20	21	24	32	34	37	39	1	0	52	1409	0	3475	0	623	23	0	11	3	0	
7	13	16	19	20	22	23	26	28	29	1	8	9	18	24	25	30	33	34	36	2	0	116	2322	54702	490	1424	1092	30	9	18	4	0	
8	9	10	11	12	17	19	20	33	34	0	5	6	7	13	16	18	23	29	38	0	1	115	0	81	0	13533	2760	9	742	0	1	0	
3	4	5	13	14	23	25	26	30	31	6	7	12	16	21	22	24	34	37	38	3	2	22	0	6	70	0	627	13	1	0	0	0	
1	4	8	11	13	18	19	20	23	25	0	5	16	17	26	30	32	34	35	37	2	3	41	853	256	8555	0	389	11	2	0	0	0	
0	2	6	7	15	18	21	24	34	36	1	8	16	22	29	30	33	35	37	39	0	0	81	1251	8289	72	0	2314	34	0	1	2	0	
0	1	4	9	15	17	30	32	36	38	5	6	14	20	23	24	34	35	37	39	0	1	93	662	339	204	0	128	0	2	2	1	0	
4	12	19	20	21	26	29	30	36	39	0	5	9	10	13	23	24	25	28	32	0	2	64	0	577	1549	335	290	17	0	1	1	0	
3	5	6	16	17	18	19	32	34	38	0	4	9	11	12	14	20	27	28	30	0	3	69	1193	311	1055	257	0	830	59	34	0	0	
0	11	16	26	28	30	31	34	35	37	3	6	9	10	12	13	17	19	33	38	2	1	44	0	1990	150722	460	5515	4	10	1	0	0	
3	6	10	13	16	17	18	25	35	36	5	8	9	11	12	23	27	28	37	39	3	0	75	2385	622	0	2105	4163	83	33	810	2	0	
10	14	18	19	20	23	29	35	36	37	2	3	9	13	25	26	28	34	38	39	2	1	99	672	13059	0	1126	841	0	21	11	9	0	
0	1	6	7	11	16	27	31	35	39	2	3	18	21	22	24	28	34	36	38	1	2	76	133	0	821	19752	1	72	6	1	1	0	
0	1	8	20	24	27	35	36	38	39	3	9	12	14	19	23	28	29	34	37	0	2	90	621	75	0	110040	778	13	12	2	1	0	
0	1	7	8	15	20	21	24	25	27	2	3	4	10	14	22	32	33	35	37	3	3	37	868	781	286	274	388	0	2770	46	2	0	
1	2	11	14	19	21	25	26	29	35	8	9	15	16	20	32	33	36	38	39	2	3	64	0	26426	0	276	182	2046	0	213	1	0	
0	10	11	14	20	21	28	29	30	39	3	5	12	13	15	22	23	25	31	35	3	0	26	868	0	594	0	233	51	4	0	0	0	
2	3	14	16	18	21	22	25	36	39	0	7	11	15	19	24	26	28	31	38	1	0	87	1013	319	0	0	141	0	8	0	0	0	
0	1	3	7	19	21	24	27	31	39	5	12	16	17	23	26	28	34	36	37	3	1	56	172	0	68089	0	7	22	2	0	1	0	
2	4	10	13	14	20	21	26	29	30	0	1	3	5	6	18	23	25	35	38	1	2	43	154	0	104	0	0	0	1	1	1	0	
2	3	6	9	19	21	25	28	31	34	15	18	20	22	26	27	30	36	37	39	1	1	76	0	48951	0	1147	1545	152	1	1	0	0	
1	4	14	16	18	19	20	31	36	39	0	2	7	10	12	15	24	27	28	32	1	3	69	0	1583	2194	353	0	114	8	0	4	0	
2	5	6	10	12	19	24	25	29	34	3	4	7	18	22	27	28	30	31	35	2	0	46	1482	631	595	748	8	0	0	10	0	0	
1	2	3	10	16	17	32	34	35	39	5	8	11	18	24	25	26	28	30	31	1	1	62	731	24956	14081	1291	232	0	7	3	3	0	
9	16	17	25	30	31	33	34	36	39	0	1	2	4	5	7	8	18	22	37	2	2	40	0	55355	629	2842	0	23	16	3	0	0	
0	5	7	12	18	22	23	31	33	34	4	15	16	17	19	20	28	30	35	39	2	3	33	135	0	362	0	0	4	0	1	0	0	
0	4	5	17	22	26	32	33	36	39	1	7	10	12	13	14	15	20	23	30	3	2	41	1372	0	1084	8252	7	0	3626	3	0	0	
1	2	3	9	14	16	20	23	30	32	0	5	7	17	21	25	28	31	34	39	3	0	50	1171	0	225	78	636	21	0	1	0	0	
2	7	13	14	18	22	24	25	31	37	0	3	6	8	12	15	19	28	29	39	3	1	70	97	0	74	88	60	0	0	0	0	0	
3	9	13	17	26	28	29	30	31	34	8	10	12	14	20	24	25	33	36	37	1	3	65	160	221	12525	0	7	0	1	0	1	0	
6	8	9	12	15	18	21	27	31	32	2	3	7	11	14	19	23	26	33	37	2	2	28	499	4101	0	2162	0	0	0	13	2	0	
1	2	4	5	12	20	24	28	29	34	6	7	9	15	19	21	32	33	35	39	3	0	77	3229	1409	312	1090	1459	170	0	8	3	0	
5	9	11	16	22	25	27	28	30	39	0	4	6	15	17	23	31	32	33	35	2	1	79	99	0	611	263	126	0	11	1	0	0	
0	2	5	6	10	11	13	18	23	33	1	4	9	12	16	17	30	31	35	36	0	3	72	713	16376	548	491	277	0	4	4	0	0	
1	7	8	9	13	18	20	24	32	36	2	3	5	12	14	17	22	23	30	39	0	0	82	627	0	503	492	350	0	16	3	2	0	
2	5	6	14	16	22	23	32	35	37	0	1	4	10	11	15	25	27	28	38	3	2	42	163	0	0	1513	2176	350	0	14	3	0	
0	8	9	11	18	19	25	31	34	36	5	6	7	10	14	20	27	30	35	38	0	1	104	136	665	0	10238	620	92	16	0	41	0	
1	3	4	5	6	17	19	29	34	37	2	13	15	16	21	25	30	32	36	38	2	3	48	387	0	0	12565	0	461	2571	3989	997	0	
0	2	7	9	16	21	27	34	36	39	3	5	6	11	13	14	19	24	28	37	1	0	105	1244	12075	477	0	8	27	0	5	1	0	
0	4	9	17	19	24	35	36	37	38	1	3	10	11	14	16	20	23	26	39	0	2	69	840	254	0	1076	5	0	11	2	1	0	
3	9	12	13	15	17	18	29	34	39	0	6	7	19	20	24	25	30	32	35	2	3	88	554	360	0	24692	6	0	10	1599	3	0	
0	9	11	14	16	19	22	31	32	33	1	3	5	7	8	15	18	21	27	29	0	1	77	547	142	10233	0	0	32	0	0	127	0	
0	1	8	9	11	16	21	22	31	38	3	5	13	14	23	26	32	34	35	37	3	0	48	848	0	716	29814	0	90	0	1	1	0	
1	3	4	7	13	15	17	21	29	37	5	6	19	22	23	30	31	33	35	36	2	2	33	3500	0	52396	0	2076	0	6	4	3	0	
2	7	8	15	16	18	21	31	32	35	4	6	11	19	23	25	36	37	38	39	1	3	83	269	409	0	420	262	27	0	1	0	0	
4	6	7	16	20	24	25	27	29	35	0	1	8	9	10	13	18	22	23	34	2	1	63	269	135	0	57660	722	18	9	1	0	0	
2	5	8	13	15	22	34	35	37	38	0	6	10	20	28	30	32	33	36	39	3	0	95	2524	972	334	1982	0	113	5	5	3	0	
7	9	10	12	15	16	22	25	32	35	1	3	11	18	21	26	33	34	38	39	3	2	86	68	0	276	122	3434	33	19	19	0	0	
4	6	7	8	9	18	20	21	34	36	0	11	13	14	23	25	29	32	33	35	1	1	29	444	13198	18725	0	2240	0	25	0	2	0	
1	3	5	6	8	12	14	24	32	35	0	7	9	16	19	23	29	30	36	38	1	2	66	1027	0	0	27936	0	253	4210	13037	52	0	
8	12	13	15	18	19	21	30	31	35	1	3	5	6	7	20	22	25	28	34	2	3	79	656	7063	0	2205	516	0	3	1	0	0	
3	7	8	14	20	21	25	33	36	37	4	15	16	18	19	24	30	31	32	35	3	0	87	844	267	0	3937	679	8	2	1	0	0	
7	11	19	21	28	30	33	36	37	38	3	4	5	9	12	17	22	23	29	34	3	3	94	1360	114	0	82159	8	97	24	0	1	0	
2	7	8	14	15	23	24	25	35	38	0	6	10	11	22	26	28	30	34	37	2	0	74	688	258	246	0	330	0	10	2	1	0	
3	5	6	8	13	15	19	20	34	35	12	22	23	24	25	26	27	30	31	33	3	1	34	367	11893	2619	309	7	0	41	0	0	0	
10	11	12	13	18	20	21	24	34	38	2	3	15	17	23	25	30	31	32	33	3	2	44	462	562	1098	1535	413	0	9	2	2	0	
3	5	6	12	14	17	19	24	26	36	0	4	7	16	20	21	32	33	34	38	2	3	6	611	1165	0	271	0	0	4	2	2	0	
6	8	12	14	15	18	22	23	28	39	4	5	10	11	17	20	25	31	32	34	3	0	31	3075	0	0	424	493	6	0	2	0	0	
1	8	13	24	25	30	32	34	36	38	3	4	11	12	17	20	22	26	28	35	3	1	77	1125	38301	15184	0	1598	115	14	9	0	0	
5	6	13	14	17	21	24	33	36	39	1	16	19	20	23	26	29	30	32	37	3	2	57	252	3621	65	65	0	143	0	14	18	0	
3	6	15	16	22	23	26	33	37	39	1	2	10	18	24	25	28	30	32	38	0	3	28	173	0	46	330	0	14	12	5	40	0	
0	3	4	5	14	15	22	27	34	35	6	7	8	9	10	12	16	18	20	24	2	0	69	1714	0	756	12713	80	0	16	0	0	0	
6	7	8	21	27	30	33	34	36	37	0	3	5	9	12	22	26	35	38	39	1	1	30	822	2875	1144	514	10	2	1	1	0	0	
4	6	7	9	12	27	35	36	37	39	2	5	8	10	11	15	17	28	32	38	1	1	35	250	56271	0	0	1601	11	7	1	0	0	
2	6	8	9	23	27	28	31	33	39	3	13	14	16	21	22	25	30	36	38	1	2	46	330	13101	1044	14927	1713	14	0	1686	526	0	
0	4	7	12	16	17	23	25	30	38	1	8	9	11	13	15	27	32	33	37	1	3	4	125	85	339	0	41	0	7	6	3	0	
4	5	9	10	20	24	30	32	34	38	1	8	11	13	15	21	25	27	36	39	1	0	88	2337	768	1224	635	616	80	0	15	0	0	
3	4	6	17	18	24	25	29	30	37	0	2	7	9	12	16	19	20	21	31	3	1	65	201	77	0	123	0	48	9	14	0	0	
5	18	21	25	27	29	32	33	34	36	0	1	12	14	17	20	22	28	35	37	1	2	55	0	76664	0	0	9	87	12482	5	0	0	
11	12	13	14	19	20	24	25	29	30	0	2	4	6	7	9	23	34	35	36	2	3	38	253	4539	231	0	13	13	768	3	3	0	
0	3	8	10	15	17	28	30	35	38	6	11	13	16	18	19	22	24	26	27	1	0	94	2710	7015	0	28687	415	5	0	0	0	0	
1	2	4	18	20	28	29	30	31	38	0	7	9	10	12	16	21	22	26	32	1	1	30	146	0	132	0	196	67	0	2	0	0	
5	10	17	25	26	28	31	32	34	35	0	1	3	9	13	14	22	24	36	39	2	2	56	0	279	690	443	879	23	19	4	2	0	
1	3	7	9	10	12	24	35	36	37	5	13	16	18	23	25	30	32	33	39	2	2	38	1717	0	267352	7462	1185	22	4	3	3	0	
6	7	8	9	17	19	29	31	33	34	0	1	2	4	11	12	20	25	27	36	2	3	78	225	0	904	1177	49	204	0	0	0	0	
7	8	10	13	21	22	27	30	31	39	3	6	12	16	23	24	25	26	35	37	1	0	39	531	0	367	202	0	0	21	44	0	0	
10	13	17	20	21	23	27	30	37	38	0	4	5	7	11	24	25	32	34	35	0	1	38	633	5474	277	229	2930	43	13	3	3	0	
1	2	7	9	13	15	17	26	33	35	5	10	12	14	21	24	32	36	37	39	0	2	38	0	378	30895	609	0	155	9	4	0	0	
3	7	9	11	13	16	19	22	23	26	1	2	4	8	17	18	20	27	30	31	3	3	23	448	24601	215	697	324	24	1	1	0	0	
0	2	4	6	9	10	15	17	22	35	1	5	12	13	14	18	19	23	26	34	2	0	53	2309	9948	0	0	1989	19	0	2	0	0	
3	5	8	12	15	17	18	26	29	36	1	6	7	16	20	21	25	32	34	39	3	3	64	400	0	38104	83860	4	39	7	1	0	0	
8	9	11	12	22	23	24	32	33	39	0	3	5	13	17	18	26	28	30	37	0	0	53	353	0	0	46	0	81	0	2	0	0	
0	4	9	14	17	22	23	31	33	36	1	2	3	5	6	10	21	26	27	28	2	1	34	0	0	803	1275	912	0	5	1	1	0	
