Mode: 22 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
0	4	6	7	14	17	21	29	35	38	3	5	10	20	24	25	27	30	31	36	1	0	29	1609	0	3368	345	0	9	4	3	0	0	
0	4	6	7	14	17	21	29	35	38	3	5	10	20	24	25	27	30	31	36	0	2	57	156	0	3341	0	291	0	7	2	0	0	
4	8	13	17	18	24	26	29	32	36	1	2	6	7	9	19	25	33	34	37	1	3	41	73	2120	132	0	120	0	6	5	3	0	
4	7	19	21	22	23	27	34	36	39	1	5	6	11	15	17	18	24	32	35	0	0	38	721	0	373	150	0	0	1	0	7	0	
2	4	16	18	20	21	22	24	25	36	6	8	9	10	12	13	17	28	38	39	0	1	97	88	0	370	0	227	9	8	1	1	0	
1	9	14	19	21	25	32	35	37	39	2	5	6	8	12	20	27	29	34	36	0	1	97	3464	6008	1100	0	410	0	32	0	3	0	
1	4	7	8	17	20	29	31	37	39	0	3	5	6	9	13	21	33	36	38	3	2	103	239	705	682	2096	0	809	28	5	0	0	
0	5	7	16	17	24	26	33	34	39	2	8	9	10	11	13	18	23	27	32	2	2	35	96	0	149	4051	0	258	53	0	15	0	
2	6	10	12	13	21	24	25	29	34	0	1	9	15	18	23	26	27	38	39	3	3	45	337	0	0	0	3667	34	4	20	3	0	
3	8	11	18	23	25	27	31	35	39	0	4	13	15	28	29	34	36	37	38	3	3	64	347	122	0	3908	114	0	23	10	8	0	
3	5	9	18	20	26	27	28	34	38	1	2	11	12	14	17	19	29	32	39	3	0	80	1028	10766	0	683	13	0	28	0	13	0	
3	4	8	9	19	27	30	33	36	37	2	10	17	20	23	28	29	31	38	39	3	0	116	2682	179	10	82	0	103	13	2	0	0	
11	12	15	16	17	21	22	31	38	39	1	2	3	7	19	23	24	25	29	37	3	1	89	1733	2445	0	0	2031	86	686	1	0	0	
3	11	14	17	19	21	28	30	34	39	0	4	7	8	16	24	29	35	37	38	2	1	100	459	0	529	387	853	256	17	4	0	0	
5	6	7	19	23	26	34	35	37	38	0	2	8	13	20	21	25	27	36	39	3	2	85	243	133	0	19108	19	127	11	3	1	0	
1	4	13	18	19	24	25	30	32	37	0	2	3	5	9	11	15	20	27	28	2	3	90	775	129	0	4716	0	55	0	10	2	0	
7	10	13	18	20	25	27	31	36	39	2	16	19	22	24	26	28	32	34	37	1	2	73	188	157	2037	0	59	0	9	1	1	0	
2	7	10	17	18	19	22	28	32	33	1	15	20	21	23	25	26	35	36	39	1	0	104	1039	0	0	0	324	0	5	1	1	0	
0	2	9	13	14	20	23	28	31	34	5	6	8	16	22	27	30	36	38	39	0	1	65	118	8098	0	846	1210	0	22	0	5	0	
3	4	7	9	14	18	24	28	30	39	0	6	15	16	19	20	23	25	31	36	1	3	70	151	0	24780	0	8	0	6	2	1	0	
1	5	6	7	14	20	21	22	23	32	0	3	8	10	12	13	16	19	35	39	0	0	76	842	662	0	618	617	0	8	2	1	0	
1	3	4	9	11	21	23	28	33	35	6	7	8	15	16	19	25	32	34	36	3	2	71	232	27933	172	519	398	45	0	24	0	0	
0	1	2	3	11	12	15	21	24	39	6	7	9	16	28	29	31	34	36	37	3	3	78	0	14164	0	0	0	17	10	9	0	0	
3	7	8	9	11	13	20	28	29	35	0	5	15	17	18	21	26	34	36	39	0	0	100	1541	6260	0	317	84	0	0	3	1	0	
3	10	14	15	17	18	31	34	36	39	1	6	7	8	12	13	25	29	30	38	3	1	82	2462	0	2537	1774	2808	270	0	2	1	0	
1	5	14	15	16	26	27	30	35	37	0	4	10	12	20	31	33	34	36	38	1	2	15	189	0	90	16	118	28	23	3	0	0	
0	1	2	4	6	9	19	25	31	39	3	10	12	13	15	21	29	35	36	38	0	1	101	0	110333	334	376	273	0	24	1	1	0	
0	4	5	6	13	16	17	25	29	31	8	11	15	18	21	22	24	27	35	36	0	2	46	245	3862	2053	0	6814	0	14	18	0	0	
1	3	7	10	14	19	25	35	38	39	8	13	15	16	20	23	24	26	32	37	1	3	69	323	163	8443	0	96	35	3	0	1	0	
2	8	12	14	17	18	19	25	27	30	1	4	10	11	20	21	24	34	36	38	2	0	36	868	298	0	1322	0	14	2	1	0	0	
1	2	3	18	24	26	30	33	35	37	11	12	13	16	23	25	29	31	34	36	3	1	61	0	0	0	1645	7	0	0	2	0	0	
2	5	9	11	13	23	24	30	34	37	1	3	8	10	17	18	20	22	29	36	0	2	61	130	0	356	170	0	88	1	0	0	0	
2	5	6	12	13	16	20	33	38	39	3	8	14	18	19	21	25	31	32	35	2	3	70	226	0	335	4174	0	0	5	1	0	0	
0	1	11	17	18	22	23	25	27	28	2	4	7	8	13	14	20	21	36	37	0	0	70	1190	0	881	692	0	100	34	1	0	0	
0	6	16	19	29	30	32	33	37	38	1	2	4	5	9	11	13	24	25	27	0	3	106	270	0	25415	80406	930	190	3033	4	2	0	
4	6	14	20	22	24	25	32	33	36	2	3	5	9	16	17	18	28	30	34	1	1	74	0	1516	12136	420	0	33	0	1	0	0	
3	4	8	9	13	26	33	34	35	38	0	2	6	11	15	17	20	28	29	32	1	0	73	1396	38650	693	195	863	67	1086	2989	38	0	
2	9	17	25	26	28	31	35	36	38	1	4	8	10	14	18	24	34	37	39	2	2	63	208	5623	0	1156	0	0	11	1	0	0	
3	7	15	17	19	23	25	27	30	35	1	2	6	9	10	14	20	22	38	39	2	3	76	213	49	452	1075	1145	0	3	0	1	0	
6	7	9	11	17	19	23	25	26	31	1	3	5	8	12	13	14	16	22	33	3	1	51	197	1974	0	0	879	27	11	0	1	0	
2	10	14	15	16	18	21	30	34	36	0	1	6	8	12	13	17	20	23	28	2	2	22	0	2514	1346	817	1712	29	4	0	1	0	
0	1	6	10	13	17	22	23	24	32	3	9	12	14	16	19	29	30	36	37	1	0	75	904	361	125	0	1011	107	0	0	0	0	
4	7	10	11	23	29	36	37	38	39	3	5	6	17	18	25	26	31	34	35	2	3	50	194	0	585	12446	15	309	0	0	9	0	
5	10	14	17	24	25	31	34	37	38	2	3	4	12	15	19	22	27	28	39	2	0	48	979	0	417	114	0	26	3	1	0	0	
5	7	15	18	22	25	28	32	34	35	9	12	14	21	23	27	31	33	36	38	1	1	64	108	0	105	935	0	68	2	1	0	0	
0	10	13	19	21	22	29	32	36	38	1	4	5	12	14	15	18	24	31	33	1	1	79	101	214	0	1050	7	60	4	2	0	0	
3	5	10	12	19	22	25	26	33	37	1	6	8	9	11	17	20	21	31	35	3	2	16	56	0	596	0	378	12	1	0	1	0	
3	4	5	7	10	14	18	22	36	37	11	13	16	23	24	25	26	28	33	34	2	2	71	0	660	0	6190	423	0	22	5	11	0	
1	11	20	23	27	29	30	34	38	39	0	3	8	10	17	18	22	24	25	33	0	3	26	795	0	720	806	2768	167	3	5	5	0	
2	3	4	8	9	13	18	21	33	37	5	6	12	17	20	24	28	29	30	39	1	3	88	0	1539	1633	836	161	0	9	780	2	0	
4	8	11	12	17	22	24	26	37	39	0	2	9	13	18	21	23	31	32	36	0	0	55	1709	0	11741	307	0	1358	0	2	2	0	
0	1	16	18	20	26	29	30	34	39	3	7	11	13	14	15	22	27	28	36	0	1	16	69	232	0	0	2295	191	8	0	7	0	
10	11	13	16	21	22	25	29	33	34	0	1	5	24	30	31	32	35	36	39	0	2	26	1646	413	1809	3117	4248	173	3	1	0	0	
